Datetime,Open,High,Low,Close,Volume
2025-09-16 06:30:00-04:00,1.17974,1.17994,1.17927,1.17932,284
2025-09-16 06:35:00-04:00,1.17932,1.17934,1.17911,1.17914,284
2025-09-16 06:40:00-04:00,1.17913,1.17929,1.17883,1.17927,295
2025-09-16 06:45:00-04:00,1.17927,1.17971,1.17926,1.17962,283
2025-09-16 06:50:00-04:00,1.17962,1.18012,1.17958,1.1797,384
2025-09-16 06:55:00-04:00,1.17966,1.17974,1.17924,1.17938,334
2025-09-16 07:00:00-04:00,1.17938,1.17947,1.179,1.17907,324
2025-09-16 07:05:00-04:00,1.17907,1.1794,1.17897,1.17937,251
2025-09-16 07:10:00-04:00,1.17937,1.17978,1.17919,1.17969,332
2025-09-16 07:15:00-04:00,1.17969,1.18032,1.17959,1.18002,373
2025-09-16 07:20:00-04:00,1.18002,1.18008,1.17942,1.17948,304
2025-09-16 07:25:00-04:00,1.17948,1.17965,1.17921,1.17958,305
2025-09-16 07:30:00-04:00,1.17957,1.17959,1.17917,1.17932,314
2025-09-16 07:35:00-04:00,1.17931,1.17932,1.17908,1.17911,277
2025-09-16 07:40:00-04:00,1.17911,1.17916,1.1789399999999999,1.17907,241
2025-09-16 07:45:00-04:00,1.17909,1.17922,1.17899,1.1791800000000001,201
2025-09-16 07:50:00-04:00,1.1791800000000001,1.1795200000000001,1.1791800000000001,1.17937,276
2025-09-16 07:55:00-04:00,1.17939,1.17966,1.17934,1.17944,298
2025-09-16 08:00:00-04:00,1.17944,1.1798899999999999,1.17944,1.17971,297
2025-09-16 08:05:00-04:00,1.17971,1.18019,1.17969,1.18015,254
2025-09-16 08:10:00-04:00,1.18014,1.18075,1.18014,1.18052,521
2025-09-16 08:15:00-04:00,1.18052,1.1809,1.18052,1.18082,341
2025-09-16 08:20:00-04:00,1.18082,1.18106,1.18059,1.1807,301
2025-09-16 08:25:00-04:00,1.18069,1.1807400000000001,1.18048,1.1807,304
2025-09-16 08:30:00-04:00,1.18071,1.1810100000000001,1.18063,1.18081,299
2025-09-16 08:35:00-04:00,1.18081,1.18124,1.18068,1.18116,310
2025-09-16 08:40:00-04:00,1.18116,1.18157,1.18107,1.18151,351
2025-09-16 08:45:00-04:00,1.18151,1.18174,1.18142,1.18142,394
2025-09-16 08:50:00-04:00,1.18142,1.18176,1.18128,1.18163,237
2025-09-16 08:55:00-04:00,1.18163,1.1817,1.18126,1.18136,354
2025-09-16 09:00:00-04:00,1.18136,1.18138,1.18086,1.18088,245
2025-09-16 09:05:00-04:00,1.18088,1.18088,1.18045,1.18064,298
2025-09-16 09:10:00-04:00,1.18063,1.18083,1.18039,1.18047,274
2025-09-16 09:15:00-04:00,1.18047,1.18076,1.18034,1.18066,266
2025-09-16 09:20:00-04:00,1.18066,1.18112,1.18065,1.1810100000000001,234
2025-09-16 09:25:00-04:00,1.1810100000000001,1.18115,1.18073,1.18112,239
2025-09-16 09:30:00-04:00,1.18112,1.18148,1.18076,1.18081,207
2025-09-16 09:35:00-04:00,1.18081,1.18083,1.18054,1.18073,222
2025-09-16 09:40:00-04:00,1.1807400000000001,1.18086,1.18053,1.1807,188
2025-09-16 09:45:00-04:00,1.1807,1.18084,1.18063,1.18066,177
2025-09-16 09:50:00-04:00,1.18066,1.18081,1.18049,1.18059,196
2025-09-16 09:55:00-04:00,1.18059,1.18104,1.18053,1.1807699999999999,250
2025-09-16 10:00:00-04:00,1.1807699999999999,1.18108,1.18056,1.1807,296
2025-09-16 10:05:00-04:00,1.1807,1.1807,1.18019,1.18031,306
2025-09-16 10:10:00-04:00,1.18031,1.18032,1.18009,1.18014,226
2025-09-16 10:15:00-04:00,1.18014,1.18041,1.18007,1.1804000000000001,205
2025-09-16 10:20:00-04:00,1.1804000000000001,1.18059,1.1803,1.18048,132
2025-09-16 10:25:00-04:00,1.18048,1.18053,1.1801599999999999,1.18017,211
2025-09-16 10:30:00-04:00,1.18018,1.18031,1.18014,1.18027,174
2025-09-16 10:35:00-04:00,1.18027,1.1807400000000001,1.18024,1.18069,219
2025-09-16 10:40:00-04:00,1.18069,1.18155,1.18069,1.18139,309
2025-09-16 10:45:00-04:00,1.18139,1.1815,1.18089,1.18107,306
2025-09-16 10:50:00-04:00,1.18107,1.18195,1.18104,1.18182,289
2025-09-16 10:55:00-04:00,1.18182,1.18208,1.18131,1.18136,452
2025-09-16 11:00:00-04:00,1.18137,1.18149,1.18118,1.18126,277
2025-09-16 11:05:00-04:00,1.18126,1.1813,1.18056,1.18059,322
2025-09-16 11:10:00-04:00,1.18059,1.18068,1.18021,1.18025,309
2025-09-16 11:15:00-04:00,1.18025,1.18051,1.18019,1.18028,316
2025-09-16 11:20:00-04:00,1.1803,1.18047,1.18012,1.18022,339
2025-09-16 11:25:00-04:00,1.18022,1.18032,1.17988,1.17988,323
2025-09-16 11:30:00-04:00,1.17984,1.18011,1.17883,1.17957,857
2025-09-16 11:35:00-04:00,1.17959,1.18076,1.17949,1.1801300000000001,660
2025-09-16 11:40:00-04:00,1.1801300000000001,1.18023,1.17954,1.17978,556
2025-09-16 11:45:00-04:00,1.17978,1.18055,1.17962,1.18053,466
2025-09-16 11:50:00-04:00,1.18053,1.18073,1.18007,1.18066,471
2025-09-16 11:55:00-04:00,1.18067,1.18072,1.18023,1.18043,464
2025-09-16 12:00:00-04:00,1.18042,1.18103,1.18036,1.18078,482
2025-09-16 12:05:00-04:00,1.18078,1.18108,1.18066,1.18078,355
2025-09-16 12:10:00-04:00,1.18078,1.18108,1.18068,1.181,313
2025-09-16 12:15:00-04:00,1.181,1.18108,1.18068,1.181,340
2025-09-16 12:20:00-04:00,1.1810100000000001,1.18192,1.18098,1.18191,367
2025-09-16 12:25:00-04:00,1.18192,1.18231,1.18188,1.18211,398
2025-09-16 12:30:00-04:00,1.18215,1.18253,1.18185,1.18201,431
2025-09-16 12:35:00-04:00,1.18201,1.18265,1.18197,1.18248,437
2025-09-16 12:40:00-04:00,1.18247,1.18259,1.18174,1.1819,458
2025-09-16 12:45:00-04:00,1.1819,1.18227,1.18133,1.18226,500
2025-09-16 12:50:00-04:00,1.18226,1.18252,1.18222,1.18241,412
2025-09-16 12:55:00-04:00,1.18241,1.18245,1.18204,1.18234,345
2025-09-16 13:00:00-04:00,1.1823299999999999,1.18307,1.1820599999999999,1.18306,543
2025-09-16 13:05:00-04:00,1.18307,1.18391,1.18306,1.18341,709
2025-09-16 13:10:00-04:00,1.18339,1.1838,1.18334,1.1837900000000001,404
2025-09-16 13:15:00-04:00,1.1837900000000001,1.1846700000000001,1.18378,1.18411,598
2025-09-16 13:20:00-04:00,1.18411,1.18422,1.18368,1.18392,505
2025-09-16 13:25:00-04:00,1.18387,1.18442,1.1835499999999999,1.18419,459
2025-09-16 13:30:00-04:00,1.18419,1.18466,1.1841,1.1841,486
2025-09-16 13:35:00-04:00,1.1841,1.1844000000000001,1.18382,1.1843,559
2025-09-16 13:40:00-04:00,1.1843,1.1847,1.1842,1.18452,438
2025-09-16 13:45:00-04:00,1.18457,1.1848,1.18431,1.18471,400
2025-09-16 13:50:00-04:00,1.18471,1.18479,1.18435,1.18435,395
2025-09-16 13:55:00-04:00,1.1844000000000001,1.18525,1.18436,1.18513,480
2025-09-16 14:00:00-04:00,1.18513,1.18527,1.18385,1.1838899999999999,472
2025-09-16 14:05:00-04:00,1.1838899999999999,1.18409,1.18354,1.1838,473
2025-09-16 14:10:00-04:00,1.1838,1.18396,1.18351,1.18362,266
2025-09-16 14:15:00-04:00,1.18362,1.18386,1.1834500000000001,1.18384,311
2025-09-16 14:20:00-04:00,1.18385,1.18436,1.18371,1.18432,298
2025-09-16 14:25:00-04:00,1.18432,1.18437,1.18373,1.18392,291
2025-09-16 14:30:00-04:00,1.18391,1.184,1.18351,1.18368,270
2025-09-16 14:35:00-04:00,1.18368,1.18391,1.18356,1.18371,258
2025-09-16 14:40:00-04:00,1.18369,1.18381,1.18351,1.18377,269
2025-09-16 14:45:00-04:00,1.18373,1.18411,1.18373,1.18394,215
2025-09-16 14:50:00-04:00,1.18394,1.18472,1.18391,1.18466,273
2025-09-16 14:55:00-04:00,1.18465,1.1847699999999999,1.18432,1.18466,267
2025-09-16 15:00:00-04:00,1.18466,1.18494,1.18459,1.18491,261
2025-09-16 15:05:00-04:00,1.18492,1.18494,1.18468,1.18491,255
2025-09-16 15:10:00-04:00,1.18491,1.18553,1.18483,1.18547,280
2025-09-16 15:15:00-04:00,1.18547,1.18592,1.18545,1.18583,216
2025-09-16 15:20:00-04:00,1.18583,1.18603,1.18574,1.18591,231
2025-09-16 15:25:00-04:00,1.18591,1.18645,1.18591,1.18608,320
2025-09-16 15:30:00-04:00,1.18608,1.18677,1.18608,1.18668,293
2025-09-16 15:35:00-04:00,1.18668,1.18675,1.18642,1.18673,267
2025-09-16 15:40:00-04:00,1.18673,1.18706,1.18669,1.18692,190
2025-09-16 15:45:00-04:00,1.18692,1.18712,1.18661,1.1867,209
2025-09-16 15:50:00-04:00,1.1867,1.18683,1.18651,1.18674,226
2025-09-16 15:55:00-04:00,1.18674,1.18681,1.18638,1.18639,256
2025-09-16 16:00:00-04:00,1.18641,1.18681,1.18634,1.1865,311
2025-09-16 16:05:00-04:00,1.1865,1.18669,1.18629,1.18669,168
2025-09-16 16:10:00-04:00,1.18669,1.18758,1.1865999999999999,1.1875499999999999,220
2025-09-16 16:15:00-04:00,1.18754,1.18763,1.18739,1.18754,294
2025-09-16 16:20:00-04:00,1.18754,1.1877900000000001,1.18734,1.18743,297
2025-09-16 16:25:00-04:00,1.18743,1.18749,1.18697,1.18701,220
2025-09-16 16:30:00-04:00,1.18702,1.18733,1.18702,1.18712,192
2025-09-16 16:35:00-04:00,1.18712,1.18727,1.18686,1.18702,177
2025-09-16 16:40:00-04:00,1.18703,1.18704,1.1865700000000001,1.18668,242
2025-09-16 16:45:00-04:00,1.18668,1.18697,1.1865700000000001,1.18697,182
2025-09-16 16:50:00-04:00,1.18697,1.18703,1.18672,1.18676,187
2025-09-16 16:55:00-04:00,1.18676,1.18682,1.18645,1.18655,274
2025-09-16 17:00:00-04:00,1.18656,1.18666,1.18641,1.18664,246
2025-09-16 17:05:00-04:00,1.18664,1.1869399999999999,1.18652,1.18685,221
2025-09-16 17:10:00-04:00,1.1868400000000001,1.18693,1.18664,1.1868400000000001,181
2025-09-16 17:15:00-04:00,1.1868400000000001,1.18699,1.18662,1.18682,147
2025-09-16 17:20:00-04:00,1.18682,1.18704,1.18673,1.18683,163
2025-09-16 17:25:00-04:00,1.18683,1.18688,1.18663,1.18672,131
2025-09-16 17:30:00-04:00,1.18672,1.18674,1.18637,1.18642,154
2025-09-16 17:35:00-04:00,1.18642,1.18662,1.18629,1.18642,156
2025-09-16 17:40:00-04:00,1.18642,1.18644,1.18618,1.18628,116
2025-09-16 17:45:00-04:00,1.18628,1.18628,1.18614,1.1862,107
2025-09-16 17:50:00-04:00,1.1862,1.18637,1.18606,1.18617,190
2025-09-16 17:55:00-04:00,1.18617,1.18675,1.18617,1.18661,220
2025-09-16 18:00:00-04:00,1.18661,1.18669,1.1864,1.18658,226
2025-09-16 18:05:00-04:00,1.18658,1.18665,1.18653,1.18655,134
2025-09-16 18:10:00-04:00,1.18655,1.18683,1.18654,1.18683,141
2025-09-16 18:15:00-04:00,1.18683,1.18683,1.18658,1.18669,136
2025-09-16 18:20:00-04:00,1.18669,1.18669,1.18618,1.1863,168
2025-09-16 18:25:00-04:00,1.1863,1.18635,1.18622,1.18622,168
2025-09-16 18:30:00-04:00,1.18622,1.18627,1.18595,1.18598,134
2025-09-16 18:35:00-04:00,1.18598,1.18604,1.18584,1.18593,149
2025-09-16 18:40:00-04:00,1.18593,1.1859899999999999,1.18577,1.18592,135
2025-09-16 18:45:00-04:00,1.18592,1.18613,1.18592,1.18612,125
2025-09-16 18:50:00-04:00,1.18612,1.18614,1.18574,1.18576,156
2025-09-16 18:55:00-04:00,1.18576,1.1859899999999999,1.18576,1.18597,212
2025-09-16 19:00:00-04:00,1.18595,1.18595,1.18583,1.18585,132
2025-09-16 19:05:00-04:00,1.18585,1.18608,1.18577,1.18607,106
2025-09-16 19:10:00-04:00,1.18607,1.18624,1.18604,1.1862300000000001,85
2025-09-16 19:15:00-04:00,1.1862300000000001,1.18632,1.18621,1.18626,86
2025-09-16 19:20:00-04:00,1.18626,1.1865700000000001,1.18625,1.18653,96
2025-09-16 19:25:00-04:00,1.18653,1.18661,1.18639,1.18648,126
2025-09-16 19:30:00-04:00,1.1865,1.18658,1.18642,1.18653,183
2025-09-16 19:35:00-04:00,1.18653,1.18655,1.18632,1.18639,143
2025-09-16 19:40:00-04:00,1.18636,1.18636,1.18622,1.18625,144
2025-09-16 19:45:00-04:00,1.18624,1.18629,1.18614,1.18624,173
2025-09-16 19:50:00-04:00,1.18624,1.18671,1.18622,1.18645,182
2025-09-16 19:55:00-04:00,1.18647,1.18659,1.18644,1.18656,55
2025-09-16 20:00:00-04:00,1.18587,1.18639,1.18516,1.18568,11
2025-09-16 20:05:00-04:00,1.18568,1.18568,1.18507,1.18568,9
2025-09-16 20:10:00-04:00,1.18568,1.18577,1.18567,1.18567,7
2025-09-16 20:15:00-04:00,1.18567,1.18578,1.18567,1.18578,7
